Farming Guild,Port Phasmatys,Weiss,Catherby,Troll Stronghold,Hosidius,Ardougne,Falador
9,7,7,10,7,7,8,12
9,8,11,13,9,9,8,7
9,8,9,9,10,7,13,8
10,6,9,10,11,16,,8
13,7,6,12,7,7,9,8
9,9,8,8,7,12,9,9
7,10,10,11,8,9,11,9
9,6,10,10,8,9,12,10
7,6,7,9,10,9,,
7,8,9,14,6,10,8,8
13,10,11,6,8,9,8,8
8,7,9,8,14,8,6,9
9,10,8,13,6,7,7,8
8,9,8,,8,6,8,9
9,8,6,10,14,8,10,9
11,7,9,14,10,8,7,8
9,6,8,7,9,9,9,11
